"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
8363,"Lethrinus nebulosus",2042,94052,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",94052,27.6,NA,NA,19.6,35.6,"off Abu Dhabi, 2000-2003","784",NA,NA,3,"2013-08-30T09:04:28.000Z",3,"2013-08-30T09:05:51.000Z",NA,NA,NA,1846
8362,"Lethrinus nebulosus",2042,94052,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",94052,28.6,NA,NA,23.7,33.8,"off Abu Dhabi, 2000-2003","784",NA,NA,3,"2013-08-30T09:03:08.000Z",NA,"2013-08-30T09:03:08.000Z",NA,NA,NA,1846
1714,"Lethrinus olivaceus",2060,33015,"female",4.1,NA,2293,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,2293,NA,NA,NA,NA,NA,"lagoon","540",NA,NA,492,"1999-12-02T00:00:00.000Z",3,"1999-12-02T00:00:00.000Z",NA,NA,NA,1864
1715,"Lethrinus olivaceus",2060,33015,"male",5.1,NA,2293,6,NA,NA,NA,NA,NA,NA,35.2,NA,NA,2293,37,NA,NA,NA,NA,"lagoon","540",NA,NA,492,"1999-12-02T00:00:00.000Z",3,"1999-12-02T00:00:00.000Z",NA,NA,NA,1864
1501,"Lutjanus bohar",1468,55,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,55,"TL",NA,NA,NA,NA,NA,NA,"Not specified",NA,NA,NA,10,"1994-01-27T00:00:00.000Z",NA,"2001-12-13T00:00:00.000Z",NA,NA,NA,1417
6029,"Lutjanus bohar",1468,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,"TL",34166,NA,NA,NA,NA,NA,"Aisa-Pacific Region",NA,NA,NA,393,"2007-12-28T00:00:00.000Z",NA,"2007-12-28T00:00:00.000Z",NA,NA,NA,1417
3521,"Lutjanus bohar",1468,37816,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,"FL",37816,NA,NA,NA,NA,NA,"not specified","583",NA,NA,309,"2001-11-13T00:00:00.000Z",2,"2001-12-13T00:00:00.000Z",NA,NA,NA,1417
7181,"Lutjanus bohar",1468,72420,"female",3,NA,72420,9.39,NA,NA,NA,NA,NA,NA,38.6,NA,"FL",72420,42.9,NA,NA,NA,NA,"Great Barrier Reef, 1995-2003","036",128,"Maturity stage was based on histological sections of gonads.",3,"2010-04-16T00:00:00.000Z",NA,"2010-04-16T00:00:00.000Z",NA,NA,NA,1417
7182,"Lutjanus bohar",1468,72420,"male",2,NA,72420,NA,NA,NA,NA,NA,NA,NA,24.8,NA,"FL",72420,NA,NA,NA,NA,NA,"Great Barrier Reef, 1995-2003","036",243,"Not enoguh small males to enable estimation of Lm50. The smallest male in the sample was 24.8 cm and it was mature. Maturity stage based on gonadal histology.",3,"2010-04-16T00:00:00.000Z",NA,"2010-04-16T00:00:00.000Z",NA,NA,NA,1417
576,"Lutjanus fulviflamma",275,55,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,"TL",NA,NA,NA,NA,NA,NA,"to be filled",NA,NA,NA,10,"1994-02-01T00:00:00.000Z",NA,"1994-02-01T00:00:00.000Z",NA,NA,NA,261
5760,"Lutjanus fulviflamma",275,58350,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SL",58350,13,NA,NA,NA,NA,"southern African estuaries","710",NA,NA,2,"2007-05-30T00:00:00.000Z",NA,"2007-05-30T00:00:00.000Z",NA,NA,NA,261
8359,"Lutjanus fulviflamma",275,94051,"female",NA,NA,94051,1.9,NA,NA,NA,NA,NA,NA,NA,NA,"FL",94051,18.7,NA,NA,NA,NA,"off Abu Dhabi, 2003-2004","784",NA,NA,3,"2013-08-30T00:19:54.000Z",NA,"2013-08-30T00:19:54.000Z",NA,NA,NA,261
8358,"Lutjanus fulviflamma",275,94051,"male",NA,NA,94051,1.6,NA,NA,NA,NA,NA,NA,NA,NA,"FL",NA,16.7,NA,94051,NA,NA,"off Abu Dhabi, 2003-2004","784",NA,NA,3,"2013-08-30T00:18:43.000Z",NA,"2013-08-30T00:18:43.000Z",NA,NA,NA,261
578,"Lutjanus gibbus",279,55,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,"TL",NA,NA,NA,NA,NA,NA,"to be filled",NA,NA,NA,10,"1994-02-03T00:00:00.000Z",NA,"1994-09-29T00:00:00.000Z",NA,NA,NA,265
6030,"Lutjanus gibbus",279,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-31T00:00:00.000Z",NA,"2007-12-31T00:00:00.000Z",NA,NA,NA,265
