year,area,p_fledged
1982,,36
1999,SE,34.74
1999,NW,33.6
2004,,
2005,,
2006,,
2007,,
2009,SE,33
2010,NW,30.11
2010,SE,15
2011,SE,23.4
2013,NW,64.36
2014,NW,37.4
2015,NW,37
2016,NW,39
