outcome,day_of_year,date_numeric,spp_name,location
0,80,1332187200,White-tail tropicbird,Aldabra
0,258,1347566400,White-tail tropicbird,Aldabra
0,331,1353873600,White-tail tropicbird,Aldabra
0,10,1357761600,White-tail tropicbird,Aldabra
0,318,1352750400,White-tail tropicbird,Aldabra
0,116,1366920000,White-tail tropicbird,Aldabra
0,57,1456430400,White-tail tropicbird,Aldabra
0,304,1383163200,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,304,1383163200,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,118,1398628800,White-tail tropicbird,Aldabra
0,195,1436817600,White-tail tropicbird,Aldabra
0,217,1470254400,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,102,1460318400,White-tail tropicbird,Aldabra
0,204,1469131200,White-tail tropicbird,Aldabra
0,98,1302206400,White-tail tropicbird,Aldabra
0,337,1291320000,White-tail tropicbird,Aldabra
0,281,1286481600,White-tail tropicbird,Aldabra
0,252,1315512000,White-tail tropicbird,Aldabra
0,297,1319400000,White-tail tropicbird,Aldabra
0,53,1298318400,White-tail tropicbird,Aldabra
0,39,1297108800,White-tail tropicbird,Aldabra
0,241,1314561600,White-tail tropicbird,Aldabra
0,147,1306440000,White-tail tropicbird,Aldabra
0,297,1319400000,White-tail tropicbird,Aldabra
0,117,1272312000,White-tail tropicbird,Aldabra
0,337,1291320000,White-tail tropicbird,Aldabra
1,133,1305230400,White-tail tropicbird,Aldabra
0,264,1285012800,White-tail tropicbird,Aldabra
1,147,1306440000,White-tail tropicbird,Aldabra
0,171,1308513600,White-tail tropicbird,Aldabra
0,89,1269892800,White-tail tropicbird,Aldabra
0,145,1274731200,White-tail tropicbird,Aldabra
0,33,1328126400,White-tail tropicbird,Aldabra
0,107,1334520000,White-tail tropicbird,Aldabra
0,243,1346270400,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,271,1348689600,White-tail tropicbird,Aldabra
0,95,1333483200,White-tail tropicbird,Aldabra
0,107,1334520000,White-tail tropicbird,Aldabra
0,95,1333483200,White-tail tropicbird,Aldabra
0,229,1345060800,White-tail tropicbird,Aldabra
1,318,1352750400,White-tail tropicbird,Aldabra
0,80,1332187200,White-tail tropicbird,Aldabra
0,299,1351108800,White-tail tropicbird,Aldabra
0,38,1360180800,White-tail tropicbird,Aldabra
0,133,1368388800,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,238,1377460800,White-tail tropicbird,Aldabra
0,133,1368388800,White-tail tropicbird,Aldabra
0,205,1374609600,White-tail tropicbird,Aldabra
0,205,1374609600,White-tail tropicbird,Aldabra
0,71,1363032000,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,179,1372363200,White-tail tropicbird,Aldabra
0,116,1366920000,White-tail tropicbird,Aldabra
0,249,1378411200,White-tail tropicbird,Aldabra
0,238,1377460800,White-tail tropicbird,Aldabra
0,288,1381780800,White-tail tropicbird,Aldabra
0,275,1380657600,White-tail tropicbird,Aldabra
0,322,1384718400,White-tail tropicbird,Aldabra
0,304,1383163200,White-tail tropicbird,Aldabra
0,338,1386100800,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,364,1388347200,White-tail tropicbird,Aldabra
0,364,1388347200,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,162,1402430400,White-tail tropicbird,Aldabra
0,360,1419537600,White-tail tropicbird,Aldabra
0,280,1412625600,White-tail tropicbird,Aldabra
0,93,1396468800,White-tail tropicbird,Aldabra
0,191,1404936000,White-tail tropicbird,Aldabra
0,191,1404936000,White-tail tropicbird,Aldabra
1,50,1392753600,White-tail tropicbird,Aldabra
0,34,1422907200,White-tail tropicbird,Aldabra
1,255,1410465600,White-tail tropicbird,Aldabra
0,360,1419537600,White-tail tropicbird,Aldabra
0,223,1407700800,White-tail tropicbird,Aldabra
