date,spp_name,location,n_new_nest,month,date_numeric
2011-06-30T20:00:00Z,White-tail tropicbird,Aride,14,7,1309464000
2011-06-30T20:00:00Z,White-tail tropicbird,Cousine,10,7,1309464000
2011-07-31T20:00:00Z,White-tail tropicbird,Aldabra,1,8,1312142400
2011-07-31T20:00:00Z,White-tail tropicbird,Aride,27,8,1312142400
2011-07-31T20:00:00Z,White-tail tropicbird,Cousine,11,8,1312142400
2011-08-31T20:00:00Z,White-tail tropicbird,Aldabra,4,9,1314820800
2011-08-31T20:00:00Z,White-tail tropicbird,Aride,14,9,1314820800
2011-08-31T20:00:00Z,White-tail tropicbird,Cousine,10,9,1314820800
2011-09-30T20:00:00Z,White-tail tropicbird,Aldabra,2,10,1317412800
2011-09-30T20:00:00Z,White-tail tropicbird,Aride,28,10,1317412800
2011-10-31T20:00:00Z,White-tail tropicbird,Aldabra,2,11,1320091200
2011-10-31T20:00:00Z,White-tail tropicbird,Aride,26,11,1320091200
2011-11-30T20:00:00Z,White-tail tropicbird,Aldabra,3,12,1322683200
2011-11-30T20:00:00Z,White-tail tropicbird,Aride,5,12,1322683200
2011-12-31T20:00:00Z,White-tail tropicbird,Aldabra,3,1,1325361600
2011-12-31T20:00:00Z,White-tail tropicbird,Aride,14,1,1325361600
2012-01-31T20:00:00Z,White-tail tropicbird,Aldabra,7,2,1328040000
2012-01-31T20:00:00Z,White-tail tropicbird,Aride,24,2,1328040000
2012-02-29T20:00:00Z,White-tail tropicbird,Aldabra,5,3,1330545600
2012-02-29T20:00:00Z,White-tail tropicbird,Aride,16,3,1330545600
2012-03-31T20:00:00Z,White-tail tropicbird,Aldabra,9,4,1333224000
2012-03-31T20:00:00Z,White-tail tropicbird,Aride,23,4,1333224000
2012-04-30T20:00:00Z,White-tail tropicbird,Aldabra,4,5,1335816000
2012-04-30T20:00:00Z,White-tail tropicbird,Aride,33,5,1335816000
2012-05-31T20:00:00Z,White-tail tropicbird,Aldabra,3,6,1338494400
2012-05-31T20:00:00Z,White-tail tropicbird,Aride,15,6,1338494400
2012-06-30T20:00:00Z,White-tail tropicbird,Aldabra,4,7,1341086400
2012-06-30T20:00:00Z,White-tail tropicbird,Aride,11,7,1341086400
2012-07-31T20:00:00Z,White-tail tropicbird,Aldabra,3,8,1343764800
2012-07-31T20:00:00Z,White-tail tropicbird,Aride,23,8,1343764800
2012-08-31T20:00:00Z,White-tail tropicbird,Aldabra,6,9,1346443200
2012-08-31T20:00:00Z,White-tail tropicbird,Aride,19,9,1346443200
2012-09-30T20:00:00Z,White-tail tropicbird,Aldabra,2,10,1349035200
2012-09-30T20:00:00Z,White-tail tropicbird,Aride,41,10,1349035200
2012-10-31T20:00:00Z,White-tail tropicbird,Aldabra,5,11,1351713600
2012-10-31T20:00:00Z,White-tail tropicbird,Aride,21,11,1351713600
2012-11-30T20:00:00Z,White-tail tropicbird,Aldabra,5,12,1354305600
2012-11-30T20:00:00Z,White-tail tropicbird,Aride,6,12,1354305600
2012-12-31T20:00:00Z,White-tail tropicbird,Aldabra,3,1,1356984000
2012-12-31T20:00:00Z,White-tail tropicbird,Aride,4,1,1356984000
2013-01-31T20:00:00Z,White-tail tropicbird,Aldabra,2,2,1359662400
2013-01-31T20:00:00Z,White-tail tropicbird,Aride,11,2,1359662400
2013-02-28T20:00:00Z,White-tail tropicbird,Aldabra,2,3,1362081600
2013-02-28T20:00:00Z,White-tail tropicbird,Aride,21,3,1362081600
2013-03-31T20:00:00Z,White-tail tropicbird,Aldabra,8,4,1364760000
2013-03-31T20:00:00Z,White-tail tropicbird,Aride,7,4,1364760000
2013-04-30T20:00:00Z,White-tail tropicbird,Aldabra,10,5,1367352000
2013-04-30T20:00:00Z,White-tail tropicbird,Aride,9,5,1367352000
2013-05-31T20:00:00Z,White-tail tropicbird,Aldabra,1,6,1370030400
2013-05-31T20:00:00Z,White-tail tropicbird,Aride,66,6,1370030400
2013-06-30T20:00:00Z,White-tail tropicbird,Aldabra,5,7,1372622400
2013-06-30T20:00:00Z,White-tail tropicbird,Aride,32,7,1372622400
2013-07-31T20:00:00Z,White-tail tropicbird,Aldabra,4,8,1375300800
2013-07-31T20:00:00Z,White-tail tropicbird,Aride,1,8,1375300800
2013-08-31T20:00:00Z,White-tail tropicbird,Aldabra,3,9,1377979200
2013-08-31T20:00:00Z,White-tail tropicbird,Aride,14,9,1377979200
2013-09-30T20:00:00Z,White-tail tropicbird,Aldabra,15,10,1380571200
2013-09-30T20:00:00Z,White-tail tropicbird,Aride,43,10,1380571200
2013-10-31T20:00:00Z,White-tail tropicbird,Aldabra,4,11,1383249600
2013-10-31T20:00:00Z,White-tail tropicbird,Aride,14,11,1383249600
2013-11-30T20:00:00Z,White-tail tropicbird,Aldabra,4,12,1385841600
2013-11-30T20:00:00Z,White-tail tropicbird,Aride,12,12,1385841600
2013-12-31T20:00:00Z,White-tail tropicbird,Aldabra,1,1,1388520000
2013-12-31T20:00:00Z,White-tail tropicbird,Aride,0,1,1388520000
2014-01-31T20:00:00Z,White-tail tropicbird,Aldabra,7,2,1391198400
2014-01-31T20:00:00Z,White-tail tropicbird,Aride,17,2,1391198400
2014-02-28T20:00:00Z,White-tail tropicbird,Aldabra,7,3,1393617600
2014-02-28T20:00:00Z,White-tail tropicbird,Aride,49,3,1393617600
2014-03-31T20:00:00Z,White-tail tropicbird,Aldabra,11,4,1396296000
2014-03-31T20:00:00Z,White-tail tropicbird,Aride,13,4,1396296000
2014-04-30T20:00:00Z,White-tail tropicbird,Aldabra,1,5,1398888000
2014-04-30T20:00:00Z,White-tail tropicbird,Aride,19,5,1398888000
2014-05-31T20:00:00Z,White-tail tropicbird,Aldabra,4,6,1401566400
2014-05-31T20:00:00Z,White-tail tropicbird,Aride,21,6,1401566400
2014-06-30T20:00:00Z,White-tail tropicbird,Aldabra,4,7,1404158400
2014-06-30T20:00:00Z,White-tail tropicbird,Aride,9,7,1404158400
2014-07-31T20:00:00Z,White-tail tropicbird,Aldabra,1,8,1406836800
2014-07-31T20:00:00Z,White-tail tropicbird,Aride,13,8,1406836800
2014-08-31T20:00:00Z,White-tail tropicbird,Aldabra,6,9,1409515200
2014-08-31T20:00:00Z,White-tail tropicbird,Aride,22,9,1409515200
2014-09-30T20:00:00Z,White-tail tropicbird,Aldabra,2,10,1412107200
2014-09-30T20:00:00Z,White-tail tropicbird,Aride,21,10,1412107200
2014-10-31T20:00:00Z,White-tail tropicbird,Aldabra,3,11,1414785600
2014-10-31T20:00:00Z,White-tail tropicbird,Aride,11,11,1414785600
2014-11-30T20:00:00Z,White-tail tropicbird,Aldabra,4,12,1417377600
2014-11-30T20:00:00Z,White-tail tropicbird,Aride,13,12,1417377600
2014-12-31T20:00:00Z,White-tail tropicbird,Aldabra,5,1,1420056000
2014-12-31T20:00:00Z,White-tail tropicbird,Aride,14,1,1420056000
2015-01-31T20:00:00Z,White-tail tropicbird,Aldabra,3,2,1422734400
