X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,label
46.20408127,-9.39303453,1.087,2011/12/21 17:27:54,,,C23,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C23</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20407213,-9.39258149,3.01,2011/12/21 17:27:54,,,C24,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C24</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20400717,-9.39209878,5.653,2011/12/21 17:27:54,,,C25,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C25</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.2038879,-9.39164339,-0.595,2011/12/21 17:27:54,,,C26,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C26</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20379628,-9.39118934,2.529,2011/12/21 17:27:54,,,C27,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C27</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20376426,-9.39074543,4.211,2011/12/21 17:27:54,,,C28,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C28</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20372227,-9.39030756,5.173,2011/12/21 17:27:54,,,C29,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C29</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20373987,-9.38986676,2.049,2011/12/21 17:27:54,,,C30,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C30</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.2037014,-9.38940433,3.01,2011/12/21 17:27:54,,,C31,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C31</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20387155,-9.38898523,5.894,2011/12/21 17:27:54,,,C32,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C32</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20397683,-9.38855667,4.452,2011/12/21 17:27:54,,,C33,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C33</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20413633,-9.3881105,14.065,2011/12/21 17:27:54,,,C34,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C34</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20438955,-9.38770968,15.988,2011/12/21 17:27:54,,,C35,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C35</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20459902,-9.38731858,15.026,2011/12/21 17:27:54,,,C36,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C36</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20489104,-9.38696168,15.026,2011/12/21 17:27:54,,,C37,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C37</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20507117,-9.38652716,18.631,2011/12/21 17:27:54,,,C38,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C38</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20550929,-9.3857805,10.46,2011/12/21 17:27:54,,,C40,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C40</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
